['A1BG', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AGFG2', '1', '0', '0', '1', '2', '0', '2', '0.0272029670944346', '1\n']
['AGGF1', '1', '0', '0', '1', '7', '0', '7', '0.0709082307103203', '1\n']
['AGK', '1', '0', '0', '1', '4', '0', '4', '0.0449262901275587', '1\n']
['AGL', '3', '0', '0', '3', '13', '0', '13', '0.000391495326129494', '1\n']
['AGMAT', '4', '0', '0', '4', '1', '0', '1', '3.46146123110945e-08', '1\n']
['AGMO', '4', '0', '0', '4', '202', '0', '202', '0.121724850857189', '1\n']
['AGPAT2', '0', '0', '0', '0', '3', '0', '3', '1', '1\n']
['AGPAT4', '0', '0', '0', '0', '6', '0', '6', '1', '1\n']
['AGPAT5', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AGPAT9', '1', '0', '0', '1', '6', '0', '6', '0.0623270096964126', '1\n']
['AGR3', '1', '0', '0', '1', '32', '0', '32', '0.261708937648002', '1\n']
['AGRN', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AGXT', '1', '0', '0', '1', '39', '0', '39', '0.307737058947684', '1\n']
['AGXT2', '1', '0', '0', '1', '21', '0', '21', '0.183124451583018', '1\n']
['AHCTF1', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['AHI1', '2', '0', '0', '2', '21', '0', '21', '0.0186372804911855', '1\n']
['AHNAK', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['AHNAK2', '3', '0', '1', '5', '31', '0', '31', '0.000291315165830611', '0.009151065341517\n']
['AHRR', '1', '0', '0', '1', '4', '0', '4', '0.0449262901275587', '1\n']
['AHSA2', '2', '0', '0', '2', '71', '0', '71', '0.144206767819906', '1\n']
['AHSG', '0', '0', '0', '0', '2', '0', '2', '1', '1\n']
['AHSP', '1', '0', '0', '1', '8', '0', '8', '0.0794109924955475', '1\n']
['AIF1L', '1', '0', '0', '1', '6', '0', '6', '0.0623270096964126', '1\n']
['AIFM2', '1', '0', '0', '1', '7', '0', '7', '0.0709082307103203', '1\n']
